"";"Ref ID";"Outcome Data?";"First Author";"Year";"Country";"Journal Name";"Title";"Number of Studies";"Number of Treatments";"Number of Nodes";"Control intervention";"Intervention comparison type";"Includes Complex Interventions";"Includes different treatment doses";"Did the model account for different treatment doses?";"Primary Outcome(s)";"Description of the outcome(s)";"Safety/
Effectiveness";"Harmful/
Beneficial Outcome";"Type of outcome";"Objective outcome?";"Effect measure";"Outcome measured as";"Indirect Method";"level
";"Number of 2-arm trials";"Number of 3-arm trials";"Number of 4-arm trials";"Number of 5-arm trials";"Number of 6+ -arm trials";"Shape of network";"Total loops";"Assessment of consistency assumption";"NMA includes both direct and indirect evidence";"Models used to adjust for inconsistency";"Assessment of Transitivity";"Fixed effect or Random effects model";"Rationale for FE or RE provided";"Assumption for heterogeneity in Random Effects model";"Heterogeneity estimator/prior";"Mantel Haenszel / Peto / Inverse Variance Method";"Analysis for heterogeneity
";"Was publication bias assessed?";"Method used to assess publication bias";"Ranking";"Reporting of effect sizes";"Use of individual patient data?";"Was missing participant data reported?";"How was missing data handled?";"Funding Source";"Funding Type";"I squared of heterogeneity";"I squared of inconsistency";"I  squared both";"Bayesian / Frequentist Approach";"format";"verified";"checked";"error";"label";"X__1";"X__2";"X__3";"X__4";"X__5";"X__6";"X__7";"X__8";"X__9";"X__10";"X__11";"X__12";"X__13"
"14";"479622";"YES";"Thakkinstian";2012;"Thailand";"British Journal of Urology International";"α -blockers, antibiotics and anti-infl ammatories have a role in the management of chronic prostatitis/chronic pelvic pain syndrome";13;"15";5;"placebo";"2 (pharmacological vs placebo)";"Yes";"No";"NA";"Total symptom scores";"Treatments effects in chronic prostatitis/chronic pelvic pain syndrome";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"mean difference";"NIH-CPSI measure (total symptoms)
total symptoms score, ranged from 0 to 43,
was a summation of pain, voiding and
quality of life scores)";"Meta regression";"Arm";"11";"1";"1";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Unclear";"No";"Unclear";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NA";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;1;"""Problem in multi-arm studies!\n  - Study with negative treatment arm variance: '10'\n";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";"479629";"YES";"Reinecke";2015;"Germany";"British Journal of Pharmacology";"Analgesic efficacy of opioids in chronic pain: recent meta-analyses";46;"44";8;"placebo";"3 (non-pharmacological vs any)";"Yes";"Unclear";"NA";"pain intensity";"Efficacy of opioids in chronic pain";"Effectiveness";"Beneficial";"Continuous";"Semi-objective";"weighted mean difference";"single scales linearly transformable to a 0- to 100-
point scale such as the numerical rating scale or the visual
analogue scale";"Adjusted indirect comparison (Bucher)";"Study";"33";"13";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"Yes";"Egger’s regression intercept";"NA";"Subset";"No";"Yes";"missing values were computed by addition or
subtraction of data presented in the same study";"German Society for the Study of Pain, Deutsche Forschungsgemeinschaft, Bundesministerium für Bildung und Forschung
Studium des Schmerzes, Deutsche Forschungsgemeinschaft
and Bundesministerium für
Bildung und Forschung";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";"479650";"YES";"Coleman";2008;"USA";"Journal of Hypertension";"Antihypertensive medication and their impact on cancer incidence: a mixed treatment comparison meta-analysis of randomized controlled trials";27;"NR";7;"placebo/untreated control";"2 (pharmacological vs placebo)";"No";"Unclear";"NR";"incidence of cancer";"Association between antihypertensive agents and the incidence of cancer";"Safety";"Harmful";"Binary";"Objective";"odds ratio";"proportion of patients with incidence of cancer";"Bayesian Hierarchical Model";"Arm";"25";"2";"0";"0";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"common within-network";"NR";"NA";"Unclear";"No";"NA";"NR";"Subset";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;1;"Non-numeric value for argument 'event'.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"479652";"YES";"Leibovici-Weissman";2014;"Israel";"Cochrane Database of Systematic Reviews";"Antihypertensive medication and their impact on cancer incidence: a mixed treatment comparison meta-analysis of randomized controlled trials";39;"12";10;"placebo or no treatment";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Diarrhoea duration";"To quantify the benefit of antimicrobial treatment for patients with cholera";"Safety";"Beneficial";"Continuous";"Semi-objective";"mean difference";"the period from the time of initiation of study drug until the end of diarrhoea
study drug until the end of diarrhoea as defined in the study";"Adjusted indirect comparison (Bucher)";"Arm";"23";"0";"14";"2";"0";"Full Network";"Unclear";"NR";"Unclear";"Unclear";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"Yes";"Funnel plot";"NR";"All";"No";"Yes";"complete case analysis for all outcomes and recorded the number
of dropouts";"NA";"Non-sponsored";NA;NA;NA;NA;"long";0;1;"Identical treatments for the following studies:\n  '13' - '18'";NA;NA;NA;NA;NA;"- 'NA' - 'NA'";NA;NA;NA;NA;NA;NA;NA;NA
"20";"479661";"YES";"Owen";2010;"UK";"International Journal of Cardiology";"Antithrombotic treatment for the primary prevention of stroke in patients with non valvular atrial fibrillation: A reappraisal of the evidence and network meta analysis";14;"4";4;"control intervention";"1 (pharmacological vs pharmacological)";"No";"Yes";"No - split doses";"all strokes";"Efficacy of treatments for stroke";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"patients with atrial fibrillation";"Bayesian Hierarchical Model";"Arm";"12";"2";"0";"0";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"NR";"Random effects";"No";"NR";"low information prior";"NA";"Yes";"No";"NR";"NR";"All";"No";"No";"NA";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"479664";"YES";"Wilhelmus";2015;"USA";"Cochrane Database of Systematic Reviews";"Antiviral treatment and other therapeutic interventions for herpes simplex virus epithelial keratitis
herpes simplex virus epithelial keratitis";95;"NR";13;"Control intervention";"3 (non-pharmacological vs any)";"Yes";"Unclear";"NR";"the proportion of eyes healed at 14 days
";"To compare the relative effectiveness of antiviral agents, interferon, and corneal debridement in the treatment ofHSV epithelial keratitis";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"risk ratio";"proportion of patients with healed eyes at 14 days";"Adjusted indirect comparison (Bucher)";"Arm";"105";"3";"3";"0";"0";"Full Network";"Unclear";"Inconsistency model: random-effects meta-regression (White 2012)";"Yes";"Yes";"NR";"Random effects";"No";"NR";"NR";"NR";"Yes";"Yes";"Funnel plot";"NR";"Subset";"No";"Yes";"all participants were extracted from studies that reported sufficient information for an intention-to-treat analysis
studies that reported sufficient information for an intention-totreat
analysis";"Grant 1 U01 EY020522 National Eye Institute, National Institutes of Health, USA. Methodological support provided by the Cochrane Eyes and Vision Group, US Project Research to Prevent Blindness, Inc, US• Sid W Richardson Foundation, USA.
• National Institute for Health Research, UK.
• Richard Wormald, Co-ordinating Editor for the Cochrane Eyes and Vision Group (CEVG) acknowledges financial support for
his CEVG research sessions from the Department of Health through the award made by the National Institute for Health Research to
Moorfields Eye Hospital NHS Foundation Trust and UCL Institute of Ophthalmology for a Specialist Biomedical Research Centre
for Ophthalmology.
• The NIHR also funds the CEVG Editorial Base in London.";"Publicly-sponsored";NA;NA;NA;NA;"long";0;1;"""After removing comparisons with missing treatment effects or standard errors,\n  study '88' has a wrong number of comparisons";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";"479688";"YES";"Zhou";2005;"Canada";"American Heart Journal";"Are statins created equal? Evidence from randomized trials of pravastatin, simvastatin, and atorvastatin for cardiovascular disease prevention";8;"6";4;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Major coronary events";"The relative efficacy of different statins for long-term cardiovascular prevention";"Safety";"Harmful";"Binary";"Objective";"risk ratio";"patients with fatal coronary heart disease and nonfatal myocardial infarctions";"Adjusted indirect comparison (Bucher)";"Study";"8";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"No";"NR";"NR";"NR";"Unclear";"No";"NR";"NR";"All";"No";"No";"NA";"Natural Science and Engineering Research Council of Canada (NSERC) , Canadian Cardiovascular Outcome Research Team (CCORT), Arthritis Society";"Publicly-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";"479719";"YES";"Zintzaras";2014;"USA";"Clinical Therapeutics";"Assessment of the Relative Effectiveness and Tolerability of Treatments of Type 2 Diabetes Mellitus: A Network Meta-analysis";199;"68";18;"metformin";"1 (pharmacological vs pharmacological)";"Yes";"Yes";"No - lump doses";"target HbA1c for glycemic control";"The relative effectiveness of the treatments of type 2 diabetes mellitus";"Effectiveness";"Beneficial";"Binary";"Objective";"odds ratio";"patients achieving the HbA1c goal";"Indirect comparison meta-analysis";"Study";"168";"26";"4";"1";"0";"Full Network";"Unclear";"Informal comparison of NMA results with pairwise meta-analysis results";"NA";"No";"NR";"Random effects";"No";"NR";"NR";"Inverse Variance Method";"Unclear";"No";"NA";"NR";"Subset";"No";"Yes";"Studies with missing data excluded";"NR";"Funding source not reported";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"479757";"YES";"Chan";2014;"Canada";"PLoS One";"A Bayesian Meta-Analysis of Multiple Treatment Comparisons of Systemic Regimens for Advanced Pancreatic Cancer";16;"9";9;"gemcitabine";"1 (pharmacological vs pharmacological)";"Yes";"Unclear";"NR";"overall survival";"Efficacy of treatments for advanced pancreatic cancer";"Effectiveness";"Beneficial";"Survival";"Objective";"hazard ratio";"Median overall survival in months";"Bayesian Hierarchical Model";"Arm";"16";"0";"0";"0";"0";"Full Network";"1";"Informal comparison of NMA results with pairwise meta-analysis results";"Yes";"Yes";"all studies in included in
the meta-analysis were comparable in terms of patient characteristics and outcomes";"Both FE and RE";"residual deviance was less than the number of unconstrained data points and the deviance information criterion for each of these outcome measures favoured this model over the fixed effects model";"common within-network";"τ = 0.0001";"ΝΑ";"Unclear";"No";"NA";"Probability of being the best";"All";"No";"No";"ΝΑ";"None";"Non-sponsored";NA;NA;NA;NA;"long";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";"479767";"YES";"Katsanos";2014;"UK";"Journal of Vascular Surgery";"Bayesian network meta-analysis of nitinolstents, covered stents, drug-eluting stents, anddrug-coated balloons in the femoropopliteal artery";16;"6";6;"balloon angioplasty";"3 (non-pharmacological vs any)";"No";"No";"NA";"technical success";"Technical success was defined as successful recanalization of the target vessel withno significant residual stenosis on completion angiogram(30-50% threshold, depending on the trial design) and without any bail-out stenting in the case of BA trials. Cross-overs to the other treatment arm were considered as technical failures.";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"number of patients achieving technical success with intervention";"Bayesian Hierarchical Model";"Arm";"16";"0";"0";"0";"0";"Full Network";"1";"Back-calculation; Loop-specific";"Yes";"Yes";"uncertainty was accounted for by incorporating a meta-regression model on trial-specific baseline risk of the control arms";"Random effects";"A random-effects model was chosen to allow for heterogeneity among trials on the assumption that various treatment effects originated from a normal distribution";"Unclear";"Minimally informative priors";"NA";"Yes";"Yes";"Funnel plot; Egger's test";"SUCRA";"All";"No";"Unclear";"NA";"NR";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";"479770";"YES";"Greco";2015;"Italy";"British Journal of Anaesthesia";"A Bayesian network meta-analysis on the effect of inodilatory agents on mortality";46;"NR";5;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"mortality";"Effects of inodilators on survival in adult cardiac surgery patients";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"proportion of deaths";"Bayesian Hierarchical Model";"Arm";"46";"0";"0";"0";"0";"Full Network";"Unclear";"Comparison of model fit and parsimony";"Yes";"Yes";"NR";"Both FE and RE";"fixed effect model in case of low statistical heterogeneity (I2≤25%)";"Unclear";"Inverse-Gamma distribution";"NA";"Yes";"Yes";"Funnel plot";"SUCRA";"All";"No";"Yes";"When a study had missing or incomplete data on survival we contacted all authors by e-mail, letter or both";"NR";"Funding source not reported";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"479773";"YES";"Ellis";2014;"USA";"Value in Health";"Bazedoxifene versus Oral Bisphosphonates for the Prevention of Nonvertebral Fractures in Postmenopausal Women with Osteoporosis at Higher Risk of Fracture : A Network Meta-Analysis";11;"7";5;"placebo";"2 (pharmacological vs placebo)";"No";"Yes";"No - lump doses";"Incidence of nonvertebral fractures";"Efficacy of bazedoxifeneandoral
bisphosphonates for the prevention of nonvertebral fractures(NVFs)
in women with higher risk of postmenopausal osteoporosis";"Effectiveness";"Harmful";"Binary";"Objective";"odds ratio";"proportion of patients with nonvertebral fractures
";"Bayesian Hierarchical Model";"Arm";"11";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Both FE and RE";"Model fit";"Unclear";"vague ~Uniform(0,2)";"NA";"Yes";"No";"NA";"Probability of being the best, P (Better)";"Subset";"No";"No";"NA";"Pfizer, Inc.A.G.E.and Mapi";"Industry-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"479806";"YES";"Messori";2014;"Italy";"Therapeutic Advances in Musculoskeletal Disease";"Biological drugs for the treatment of rheumatoid arthritis by the subcutaneous route: interpreting efficacy data to assess statistical equivalence";7;"5";5;"MTX monotherapy";"1 (pharmacological vs pharmacological)";"Yes";"No";"NA";"ACR50 achievement at 12 months";"Efficacy of biologics in rheumatoid arthritis";"Effectiveness";"Beneficial";"Binary";"Semi-objective";"odds ratio";"patients achieving ACR50 at 12 months";"Bayesian Hierarchical Model";"Arm";"7";"0";"0";"0";"0";"Tree Network";"NA";"NA";"NA";"NA";"NR";"Random effects";"using a randomeffects model, the possible between-study variance was accounted for";"Unclear";"NR";"NA";"Unclear";"No";"NA";"Rankograms (histogram of rankings)";"All";"No";"No";"NA";"None";"Non-sponsored";NA;NA;NA;NA;"long";1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
